Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
V Kohli (RCB),2008-2025,267,259,40,8661,113*,39.54,6519,132.85,8,63,10,771,291
RG Sharma (DCH/MI),2008-2025,272,267,30,7046,109*,29.73,5334,132.09,2,47,18,640,302
S Dhawan (DC/DCH/MI/PBKS/SRH),2008-2024,222,221,29,6769,106*,35.25,5324,127.14,2,51,11,768,152
DA Warner (DC/SRH),2009-2024,184,184,22,6565,126,40.52,4697,139.77,4,62,11,663,236
SK Raina (CSK/GL),2008-2021,205,200,30,5528,100*,32.51,4043,136.73,1,39,8,506,203
MS Dhoni (CSK/RPS),2008-2025,278,242,100,5439,84*,38.3,3957,137.45,,24,6,375,264
KL Rahul (DC/KXIP/LSG/PBKS/RCB/SRH),2013-2025,145,136,23,5222,132*,46.21,3839,136.02,5,40,4,452,208
AB de Villiers (DC/RCB),2008-2021,184,170,40,5162,133*,39.7,3403,151.68,3,40,10,413,251
AM Rahane (CSK/DC/KKR/MI/RPS/RR),2008-2025,198,183,18,5032,105*,30.49,4025,125.01,2,33,13,514,123
CH Gayle (KKR/KXIP/PBKS/RCB),2009-2021,142,141,16,4965,175*,39.72,3333,148.96,6,31,8,404,357
RV Uthappa (CSK/KKR/MI/PWI/RCB/RR),2008-2022,205,197,17,4952,88,27.51,3799,130.35,,27,8,481,182
KD Karthik (DC/GL/KKR/KXIP/MI/RCB),2008-2024,257,234,50,4842,97*,26.31,3577,135.36,,22,18,466,161
F du Plessis (CSK/DC/RCB/RPS),2012-2025,154,147,11,4773,96,35.09,3515,135.78,,39,7,439,174
SV Samson (DC/RR),2013-2025,177,172,20,4704,119,30.94,3383,139.04,3,26,11,379,219
AT Rayudu (CSK/MI),2010-2023,204,187,33,4348,100*,28.23,3409,127.54,1,22,14,359,173
SA Yadav (KKR/MI),2012-2025,166,151,28,4311,103*,35.04,2900,148.65,2,29,10,454,168
G Gambhir (DC/KKR),2008-2018,154,152,16,4217,93,31,3404,123.88,,36,12,492,59
JC Buttler (GT/MI/RR),2016-2025,121,119,16,4120,124,40,2758,149.38,7,24,8,407,185
MK Pandey (DC/KKR/LSG/MI/PWI/RCB/SRH),2008-2025,174,162,28,3942,114*,29.41,3244,121.51,1,22,14,340,115
SR Watson (CSK/RCB/RR),2008-2020,145,141,16,3874,117*,30.99,2809,137.91,4,21,7,375,190
Shubman Gill (GT/KKR),2018-2025,118,115,17,3866,129,39.44,2787,138.71,4,26,4,372,119
SS Iyer (DC/KKR/PBKS),2015-2025,133,132,23,3731,97*,34.22,2798,133.34,,27,7,314,152
RR Pant (DC/LSG),2016-2025,125,123,19,3553,128*,34.16,2407,147.61,2,19,6,319,170
KA Pollard (MI),2010-2022,189,171,52,3412,87*,28.67,2316,147.32,,16,5,218,223
Q de Kock (DC/KKR/LSG/MI/RCB/SRH),2013-2025,115,115,7,3309,140*,30.63,2469,134.02,2,24,4,325,134
RA Jadeja (CSK/GL/Kochi/RR),2008-2025,254,198,81,3260,77*,27.86,2502,130.29,,5,9,240,117
YK Pathan (KKR/RR/SRH),2008-2019,174,154,44,3204,100,29.12,2241,142.97,1,13,9,262,158
DA Miller (GT/KXIP/LSG/RR),2012-2025,141,135,49,3077,101*,35.77,2220,138.6,1,13,4,220,138
Ishan Kishan (GL/MI/SRH),2016-2025,119,112,9,2998,106*,29.1,2178,137.64,1,17,9,288,134
WP Saha (CSK/GT/KKR/KXIP/SRH),2008-2024,170,145,24,2934,115*,24.24,2300,127.56,1,13,7,296,87
BB McCullum (CSK/GL/KKR/Kochi/RCB),2008-2018,109,109,5,2880,158*,27.69,2186,131.74,2,13,6,293,130
N Rana (KKR/MI/RR),2016-2025,118,112,10,2853,87,27.97,2086,136.76,,20,7,261,141
PA Patel (CSK/DCH/Kochi/MI/RCB/SRH),2008-2019,139,137,11,2848,81,22.6,2358,120.78,,13,13,365,49
GJ Maxwell (DC/KXIP/MI/PBKS/RCB),2012-2025,141,135,17,2819,95,23.88,1817,155.14,,18,19,237,161
MA Agarwal (DC/KXIP/PBKS/RCB/RPS/SRH),2011-2025,131,125,5,2756,106,22.96,2064,133.52,1,13,7,273,100
Yuvraj Singh (DC/KXIP/MI/PWI/RCB/SRH),2008-2019,132,126,15,2750,83,24.77,2120,129.71,,13,4,217,149
HH Pandya (GT/MI),2015-2025,152,140,43,2749,91,28.34,1871,146.92,,10,6,207,148
V Sehwag (DC/KXIP),2008-2015,104,104,5,2728,122,27.55,1755,155.44,2,16,7,334,106
AD Russell (DC/KKR),2012-2025,140,115,21,2651,88*,28.2,1522,174.17,,12,6,186,223
M Vijay (CSK/DC/KXIP),2009-2020,106,106,5,2619,127,25.93,2149,121.87,2,13,5,247,91
RD Gaikwad (CSK),2020-2025,71,70,8,2502,108*,40.35,1820,137.47,2,20,7,231,95
SPD Smith (DC/PWI/RPS/RR),2012-2021,103,93,21,2485,101,34.51,1940,128.09,1,11,1,225,60
SE Marsh (KXIP),2008-2017,71,69,7,2477,115,39.95,1866,132.74,1,20,1,266,78
JH Kallis (KKR/RCB),2008-2014,98,96,11,2427,89*,28.55,2222,109.22,,17,9,255,44
DR Smith (CSK/DCH/GL/MI),2008-2017,91,89,5,2385,87*,28.39,1764,135.2,,17,8,245,117
SR Tendulkar (MI),2008-2013,78,78,11,2334,100*,34.83,1948,119.81,1,13,4,295,29
N Pooran (KXIP/LSG/PBKS/SRH),2019-2025,90,87,20,2293,87*,34.22,1357,168.97,,14,9,157,167
RA Tripathi (CSK/KKR/RPS/RR/SRH),2017-2025,100,98,11,2291,93,26.33,1662,137.84,,12,4,229,85
R Dravid (RCB/RR),2008-2013,89,82,5,2174,75*,28.23,1882,115.51,,11,3,268,28
YBK Jaiswal (RR),2020-2025,67,66,3,2166,124,34.38,1417,152.85,2,15,4,258,92
KS Williamson (GT/SRH),2015-2024,79,77,17,2128,89,35.46,1694,125.61,,18,2,185,64
AJ Finch (DC/GL/KKR/KXIP/MI/PWI/RCB/RR/SRH),2010-2022,92,90,7,2091,88*,25.19,1631,128.2,,15,8,214,78
AC Gilchrist (DCH/KXIP),2008-2013,80,80,4,2069,109*,27.22,1495,138.39,2,11,7,239,92
JP Duminy (DC/DCH/MI),2009-2018,83,77,26,2029,78*,39.78,1636,124.02,,14,1,126,79
MP Stoinis (DC/KXIP/LSG/PBKS/RCB),2016-2025,109,99,27,2026,124*,28.13,1400,144.71,1,9,9,158,106
MEK Hussey (CSK/MI),2008-2015,59,58,7,1977,116*,38.76,1612,122.64,1,15,1,198,52
AR Patel (DC/KXIP),2014-2025,162,124,37,1916,66,22.02,1430,133.98,,3,7,130,94
PP Shaw (DC),2018-2024,79,79,-,1892,99,23.94,1283,147.46,,14,7,238,61
S Dube (CSK/RCB/RR),2019-2025,79,75,14,1859,95*,30.47,1294,143.66,,10,3,108,122
Abhishek Sharma (DC/SRH),2018-2025,77,74,7,1816,141,27.1,1114,163.01,1,9,3,174,101
D Padikkal (LSG/RCB/RR),2020-2025,74,74,3,1806,101*,25.43,1430,126.29,1,11,6,190,56
DPMD Jayawardene (DC/Kochi/KXIP),2008-2013,80,78,15,1802,110*,28.6,1462,123.25,1,10,2,200,39
B Sai Sudharsan (GT),2022-2025,40,40,4,1793,108*,49.8,1229,145.89,2,12,,183,52
SP Narine (KKR),2012-2025,189,122,21,1780,109,17.62,1069,166.51,1,7,17,189,116
KH Pandya (LSG/MI/RCB),2016-2025,142,118,39,1756,86,22.22,1326,132.42,,2,7,153,65
Mandeep Singh (DC/KKR/KXIP/PBKS/RCB),2010-2023,111,98,16,1706,77*,20.8,1388,122.91,,6,15,176,38
MK Tiwary (DC/KKR/KXIP/RPS),2008-2018,98,85,26,1695,75*,28.72,1449,116.97,,7,8,156,40
KK Nair (DC/KXIP/RCB/RR),2013-2025,84,76,5,1694,89,23.85,1286,131.72,,11,5,185,49
KC Sangakkara (DCH/KXIP/SRH),2008-2013,71,68,3,1687,94,25.95,1392,121.19,,10,4,195,27
JM Bairstow (MI/PBKS/SRH),2019-2025,52,52,4,1674,114,34.87,1146,146.07,2,9,3,173,74
R Parag (RR),2019-2025,84,72,12,1566,95,26.1,1104,141.84,,7,3,111,87
DJ Bravo (CSK/GL/MI),2008-2022,161,113,44,1560,70*,22.6,1204,129.56,,5,5,120,66
NV Ojha (DC/RR/SRH),2009-2018,113,94,19,1554,94*,20.72,1313,118.35,,6,8,121,79
NT Tilak Varma (MI),2022-2025,54,51,11,1499,84*,37.47,1038,144.41,,8,1,113,74
DJ Hooda (CSK/KXIP/LSG/PBKS/RR/SRH),2015-2025,125,101,16,1496,64,17.6,1172,127.64,,8,5,98,62
SS Tiwary (DC/MI/RCB/RPS),2008-2021,93,74,22,1494,61,28.73,1244,120.09,,8,1,111,50
SO Hetmyer (DC/RCB/RR),2019-2025,86,79,28,1482,75,29.05,976,151.84,,5,3,93,93
H Klaasen (RCB/RR/SRH),2018-2025,49,45,8,1480,105*,40,872,169.72,2,7,1,98,89
VR Iyer (KKR),2021-2025,62,56,7,1468,104,29.95,1069,137.32,1,12,2,136,65
S Badrinath (CSK),2008-2013,95,67,20,1441,71*,30.65,1212,118.89,,11,6,154,28
AK Markram (LSG/PBKS/SRH),2021-2025,57,55,9,1440,68*,31.3,1066,135.08,,10,2,111,57
EJG Morgan (KKR/KXIP/RCB/SRH),2010-2021,83,75,13,1405,68*,22.66,1146,122.6,,5,6,112,64
BJ Hodge (KKR/Kochi/RR),2008-2014,66,63,21,1400,73,33.33,1118,125.22,,6,3,122,43
SC Ganguly (KKR/PWI),2008-2012,59,56,3,1349,91,25.45,1263,106.8,,7,4,137,42
CA Lynn (DCH/KKR/MI),2012-2021,42,42,3,1329,93*,34.07,945,140.63,,10,3,132,66
DJ Hussey (CSK/KKR/KXIP),2008-2014,64,61,12,1322,71,26.97,1075,122.97,,5,4,90,60
Prabhsimran Singh (KXIP/PBKS),2019-2025,51,51,-,1305,103,25.58,859,151.92,1,7,4,134,71
MR Marsh (DC/DCH/LSG/PWI/RPS/SRH),2010-2025,55,49,2,1292,117,27.48,904,142.92,1,9,7,104,75
V Shankar (CSK/DC/GT/SRH),2014-2025,78,65,18,1233,69*,26.23,950,129.78,,7,2,88,48
KM Jadhav (CSK/DC/Kochi/RCB/SRH),2010-2023,95,81,27,1208,69,22.37,981,123.13,,4,6,102,40
MM Ali (CSK/KKR/RCB),2018-2025,73,59,6,1167,93,22.01,835,139.76,,6,6,95,67
TM Dilshan (DC/RCB),2008-2013,52,50,7,1153,76*,26.81,1007,114.49,,9,6,140,24
TM Head (RCB/SRH),2016-2025,38,37,4,1146,102,34.72,674,170.02,1,8,5,126,55
IK Pathan (DC/GL/KXIP/RPS/SRH),2008-2017,103,82,29,1139,60,21.49,946,120.4,,1,3,87,37
R Tewatia (DC/GT/KXIP/RR),2014-2025,108,77,29,1112,53,23.16,811,137.11,,1,3,90,54
RM Patidar (RCB),2021-2025,42,38,2,1111,112*,30.86,720,154.3,1,9,1,76,68
ML Hayden (CSK),2008-2010,32,32,2,1107,93,36.9,805,137.51,,8,1,121,44
RK Singh (KKR),2018-2025,59,51,15,1099,67*,30.52,757,145.17,,4,,87,56
M Vohra (KXIP/LSG/RCB/RR),2013-2023,56,51,2,1083,95,22.1,829,130.63,,3,3,104,43
DP Conway (CSK),2022-2025,29,28,3,1080,92*,43.2,773,139.71,,11,3,116,34
LMP Simmons (MI),2014-2017,29,29,2,1079,100*,39.96,852,126.64,1,11,2,109,44
PD Salt (DC/KKR/RCB),2023-2025,34,34,3,1056,89*,34.06,601,175.7,,10,3,122,56
LS Livingstone (PBKS/RCB/RR),2019-2025,49,47,7,1051,94,26.27,662,158.76,,7,3,70,75
LRPL Taylor (DC/PWI/RCB/RR),2008-2014,55,54,14,1017,81*,25.42,822,123.72,,3,3,66,46
KP Pietersen (DC/RCB/RPS),2009-2016,36,36,9,1001,103*,37.07,743,134.72,1,4,3,91,40
MC Henriques (DC/KKR/PBKS/RCB/SRH),2009-2021,62,54,18,1000,74*,27.77,788,126.9,,5,2,87,28
SM Curran (CSK/KXIP/PBKS),2019-2025,64,53,13,997,88,24.92,731,136.38,,6,4,85,41
JM Sharma (PBKS/RCB),2022-2025,55,47,8,991,85*,25.41,631,157.05,,1,2,77,62
Y Venugopal Rao (DC/DCH/SRH),2008-2014,65,54,10,985,71*,22.38,836,117.82,,3,2,77,37
JA Morkel (CSK/DC/RCB/RPS),2008-2016,91,68,28,974,73*,24.35,686,141.98,,3,3,61,55
A Symonds (DCH/MI),2008-2011,39,36,9,974,117*,36.07,750,129.86,1,5,,74,41
A Badoni (LSG),2022-2025,56,46,10,963,74,26.75,695,138.56,,6,2,73,38
CL White (DCH/RCB/SRH),2008-2013,47,45,9,954,78,26.5,755,126.35,,6,4,76,36
BA Stokes (CSK/RPS/RR),2017-2023,45,44,6,935,107*,24.6,698,133.95,2,2,3,81,32
HH Gibbs (DCH/MI),2008-2012,36,36,4,886,69*,27.68,807,109.78,,6,4,83,31
STR Binny (MI/RCB/RR),2010-2019,95,68,22,880,48*,19.13,683,128.84,,,7,66,35
TH David (MI/RCB),2021-2025,50,44,18,846,50*,32.53,488,173.36,,1,3,54,60
Harbhajan Singh (CSK/KKR/MI),2008-2021,163,90,37,833,64,15.71,604,137.91,,1,13,79,42
R Ashwin (CSK/DC/KXIP/RPS/RR),2009-2025,221,98,34,833,50,13.01,705,118.15,,1,12,64,29
MS Bisla (KKR/KXIP/RCB),2010-2015,39,39,1,798,92,21,702,113.67,,4,3,93,23
Shakib Al Hasan (KKR/SRH),2011-2021,71,52,12,793,66*,19.82,637,124.48,,2,4,73,21
Shashank Singh (PBKS/SRH),2022-2025,41,33,14,773,68*,40.68,490,157.75,,5,2,56,43
ST Jayasuriya (MI),2008-2010,30,30,2,768,114*,27.42,532,144.36,1,4,2,84,39
Abdul Samad (LSG/SRH),2020-2025,63,52,14,741,45,19.5,488,151.84,,,3,45,50
GC Smith (PWI/RR),2008-2011,29,29,3,739,91,28.42,668,110.62,,4,3,94,9
M Shahrukh Khan (GT/PBKS),2021-2025,55,49,15,732,58,21.52,491,149.08,,2,3,46,50
AD Mathews (DC/KKR/PWI),2009-2017,49,42,11,724,65*,23.35,575,125.91,,1,3,44,29
N Wadhera (MI/PBKS),2023-2025,36,31,4,719,70,26.62,503,142.94,,4,1,60,39
C Green (MI/RCB),2023-2024,29,28,11,707,100*,41.58,460,153.69,1,2,,62,32
T Stubbs (DC/MI),2022-2025,32,30,13,705,71*,41.47,432,163.19,,3,2,51,37
DC Jurel (RR),2023-2025,42,35,11,680,70,28.33,442,153.84,,4,3,51,38
TL Suman (DCH/MI/PWI),2009-2013,43,40,8,676,78*,21.12,575,117.56,,2,3,55,26
AM Nayar (KXIP/MI/PWI/RR),2008-2014,60,50,12,672,45*,17.68,577,116.46,,,3,55,20
GJ Bailey (CSK/KXIP/RPS),2009-2016,40,37,10,663,61*,24.55,544,121.87,,2,1,59,19
Abishek Porel (DC),2023-2025,31,29,3,661,65,25.42,441,149.88,,3,2,65,27
E Lewis (LSG/MI/RR),2018-2022,27,26,2,654,65,27.25,477,137.1,,4,2,62,36
PP Chawla (CSK/KKR/KXIP/MI),2008-2024,192,92,36,624,24*,11.14,563,110.83,,,16,56,20
CH Morris (CSK/DC/RCB/RR),2013-2021,81,51,23,618,82*,22.07,398,155.27,,2,9,41,35
JJ Roy (DC/GL/KKR/SRH),2017-2023,21,21,2,614,91*,32.31,443,138.6,,4,,75,21
PJ Cummins (DC/KKR/SRH),2014-2025,72,50,20,612,66*,20.4,402,152.23,,3,4,39,41
JD Ryder (PWI/RCB),2009-2012,29,29,1,604,86,21.57,458,131.87,,4,4,69,19
Rashid Khan (GT/SRH),2017-2025,136,68,26,585,79*,13.92,365,160.27,,1,16,41,41
SN Khan (DC/KXIP/PBKS/RCB),2015-2023,50,37,11,585,67,22.5,448,130.58,,1,3,63,14
HM Amla (KXIP),2016-2017,16,16,3,577,104*,44.38,407,141.76,2,3,2,60,21
Shahbaz Ahmed (LSG/RCB/SRH),2020-2025,58,38,9,545,59*,18.79,448,121.65,,1,1,29,25
CJ Anderson (DC/MI/RCB),2014-2018,30,29,7,538,95*,24.45,423,127.18,,3,2,40,31
RS Bopara (KXIP/SRH),2009-2015,24,22,4,531,84,29.5,453,117.21,,3,2,39,16
MK Lomror (RCB/RR),2018-2024,40,35,6,527,54*,18.17,373,141.28,,1,3,33,30
JP Faulkner (GL/KXIP/PWI/RR),2011-2017,60,45,20,527,46,21.08,389,135.47,,,,36,23
M Manhas (CSK/DC/PWI),2008-2014,55,38,15,514,42*,22.34,470,109.36,,,6,43,10
